v8-version,8,8,278,15,0
code-creation,Builtin,2,2095,0x100f96220,1624,RecordWrite
code-creation,Builtin,2,2116,0x100f96880,416,EphemeronKeyBarrier
code-creation,Builtin,2,2124,0x100f96a40,64,AdaptorWithBuiltinExitFrame
code-creation,Builtin,2,2131,0x100f96aa0,260,ArgumentsAdaptorTrampoline
code-creation,Builtin,2,2154,0x100f96bc0,352,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,2,2162,0x100f96d40,404,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,2169,0x100f96ee0,444,CallFunction_ReceiverIsAny
code-creation,Builtin,2,2176,0x100f970a0,120,CallBoundFunction
code-creation,Builtin,2,2183,0x100f97120,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,2,2190,0x100f971a0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,2198,0x100f97220,120,Call_ReceiverIsAny
code-creation,Builtin,2,2204,0x100f972a0,524,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,2,2214,0x100f974c0,524,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,2,2222,0x100f976e0,524,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,2,2229,0x100f97900,776,CallProxy
code-creation,Builtin,2,2237,0x100f97c20,128,CallVarargs
code-creation,Builtin,2,2243,0x100f97cc0,1008,CallWithSpread
code-creation,Builtin,2,2250,0x100f980c0,1592,CallWithSpread_WithFeedback
code-creation,Builtin,2,2257,0x100f98700,908,CallWithArrayLike
code-creation,Builtin,2,2263,0x100f98aa0,1464,CallWithArrayLike_WithFeedback
code-creation,Builtin,2,2271,0x100f99060,132,CallForwardVarargs
code-creation,Builtin,2,2277,0x100f99100,132,CallFunctionForwardVarargs
code-creation,Builtin,2,2284,0x100f991a0,156,CallFunctionTemplate_CheckAccess
code-creation,Builtin,2,2292,0x100f99240,256,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,2,2300,0x100f99360,356,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,2,2308,0x100f994e0,32,ConstructFunction
code-creation,Builtin,2,2315,0x100f99520,120,ConstructBoundFunction
code-creation,Builtin,2,2321,0x100f995a0,28,ConstructedNonConstructable
code-creation,Builtin,2,2328,0x100f995c0,100,Construct
code-creation,Builtin,2,2336,0x100f99640,128,ConstructVarargs
code-creation,Builtin,2,2342,0x100f996e0,1028,ConstructWithSpread
code-creation,Builtin,2,2351,0x100f99b00,1912,ConstructWithSpread_WithFeedback
code-creation,Builtin,2,2358,0x100f9a280,980,ConstructWithArrayLike
code-creation,Builtin,2,2365,0x100f9a660,1856,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,2,2372,0x100f9adc0,172,ConstructForwardVarargs
code-creation,Builtin,2,2379,0x100f9ae80,172,ConstructFunctionForwardVarargs
code-creation,Builtin,2,2387,0x100f9af40,908,Construct_WithFeedback
